<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:01:09.311	134.873	134.873			6
2022.08.17	11:01:09.411	134.872	134.872			6
2022.08.17	11:01:09.519	134.873	134.873			6
2022.08.17	11:01:09.750	134.872	134.872			6
2022.08.17	11:01:09.856	134.873	134.873			6
2022.08.17	11:01:09.958	134.874	134.874			6
2022.08.17	11:01:10.056	134.875	134.875			6
2022.08.17	11:01:10.159	134.876	134.876			6
2022.08.17	11:01:10.256	134.875	134.875			6
2022.08.17	11:01:10.490	134.874	134.874			6
2022.08.17	11:01:10.707	134.875	134.875			6
2022.08.17	11:01:10.838	134.874	134.874			6
2022.08.17	11:01:11.973	134.876	134.876			6
2022.08.17	11:01:12.319	134.874	134.874			6
2022.08.17	11:01:12.417	134.875	134.875			6
2022.08.17	11:01:12.617	134.876	134.876			6
2022.08.17	11:01:13.273	134.875	134.875			6
2022.08.17	11:01:13.474	134.873	134.873			6
2022.08.17	11:01:13.571	134.874	134.874			6
2022.08.17	11:01:13.677	134.875	134.875			6
2022.08.17	11:01:14.233	134.877	134.877			6
2022.08.17	11:01:14.324	134.878	134.878			6
2022.08.17	11:01:14.431	134.879	134.879			6
2022.08.17	11:01:14.538	134.878	134.878			6
2022.08.17	11:01:14.883	134.880	134.880			6
2022.08.17	11:01:15.287	134.884	134.884			6
2022.08.17	11:01:15.742	134.882	134.882			6
2022.08.17	11:01:15.839	134.881	134.881			6
2022.08.17	11:01:16.040	134.879	134.879			6
2022.08.17	11:01:16.140	134.881	134.881			6
2022.08.17	11:01:16.243	134.882	134.882			6
2022.08.17	11:01:16.388	134.881	134.881			6
2022.08.17	11:01:16.574	134.884	134.884			6
2022.08.17	11:01:16.592	134.883	134.883			6
2022.08.17	11:01:16.804	134.887	134.887			6
2022.08.17	11:01:17.000	134.890	134.890			6
2022.08.17	11:01:17.839	134.891	134.891			6
2022.08.17	11:01:17.941	134.890	134.890			6
2022.08.17	11:01:18.295	134.888	134.888			6
2022.08.17	11:01:18.396	134.889	134.889			6
2022.08.17	11:01:18.497	134.885	134.885			6
2022.08.17	11:01:18.698	134.884	134.884			6
2022.08.17	11:01:18.796	134.882	134.882			6
2022.08.17	11:01:19.035	134.881	134.881			6
2022.08.17	11:01:19.152	134.880	134.880			6
2022.08.17	11:01:20.102	134.882	134.882			6
2022.08.17	11:01:20.419	134.886	134.886			6
2022.08.17	11:01:20.622	134.887	134.887			6
2022.08.17	11:01:20.987	134.888	134.888			6
2022.08.17	11:01:21.083	134.889	134.889			6
2022.08.17	11:01:21.186	134.887	134.887			6
2022.08.17	11:01:21.482	134.886	134.886			6
2022.08.17	11:01:22.321	134.885	134.885			6
2022.08.17	11:01:22.448	134.887	134.887			6
2022.08.17	11:01:22.569	134.888	134.888			6
2022.08.17	11:01:22.667	134.887	134.887			6
2022.08.17	11:01:22.772	134.888	134.888			6
2022.08.17	11:01:22.971	134.887	134.887			6
2022.08.17	11:01:23.299	134.888	134.888			6
2022.08.17	11:01:24.160	134.889	134.889			6
2022.08.17	11:01:24.280	134.890	134.890			6
2022.08.17	11:01:24.375	134.891	134.891			6
2022.08.17	11:01:24.579	134.893	134.893			6
2022.08.17	11:01:24.681	134.894	134.894			6
2022.08.17	11:01:24.882	134.895	134.895			6
2022.08.17	11:01:25.015	134.894	134.894			6
2022.08.17	11:01:25.133	134.895	134.895			6
2022.08.17	11:01:25.232	134.894	134.894			6
2022.08.17	11:01:25.532	134.895	134.895			6
2022.08.17	11:01:26.082	134.894	134.894			6
2022.08.17	11:01:26.725	134.886	134.886			6
2022.08.17	11:01:26.845	134.889	134.889			6
2022.08.17	11:01:27.141	134.888	134.888			6
2022.08.17	11:01:27.346	134.884	134.884			6
2022.08.17	11:01:27.573	134.883	134.883			6
2022.08.17	11:01:27.689	134.884	134.884			6
2022.08.17	11:01:27.797	134.885	134.885			6
2022.08.17	11:01:27.995	134.884	134.884			6
2022.08.17	11:01:28.092	134.885	134.885			6
2022.08.17	11:01:28.190	134.884	134.884			6
2022.08.17	11:01:28.641	134.883	134.883			6
2022.08.17	11:01:28.954	134.884	134.884			6
2022.08.17	11:01:29.055	134.883	134.883			6
2022.08.17	11:01:29.912	134.882	134.882			6
2022.08.17	11:01:30.133	134.883	134.883			6
2022.08.17	11:01:30.256	134.882	134.882			6
2022.08.17	11:01:30.570	134.883	134.883			6
2022.08.17	11:01:30.671	134.882	134.882			6
2022.08.17	11:01:31.316	134.883	134.883			6
2022.08.17	11:01:31.414	134.882	134.882			6
2022.08.17	11:01:31.515	134.883	134.883			6
2022.08.17	11:01:31.620	134.882	134.882			6
2022.08.17	11:01:31.721	134.883	134.883			6
2022.08.17	11:01:31.960	134.882	134.882			6
2022.08.17	11:01:32.065	134.883	134.883			6
2022.08.17	11:01:32.367	134.882	134.882			6
2022.08.17	11:01:32.463	134.883	134.883			6
2022.08.17	11:01:32.571	134.882	134.882			6
2022.08.17	11:01:33.122	134.883	134.883			6
2022.08.17	11:01:33.218	134.882	134.882			6
2022.08.17	11:01:33.314	134.880	134.880			6
2022.08.17	11:01:33.549	134.881	134.881			6
2022.08.17	11:01:33.672	134.879	134.879			6
2022.08.17	11:01:33.782	134.880	134.880			6
2022.08.17	11:01:33.884	134.882	134.882			6
2022.08.17	11:01:33.982	134.879	134.879			6
2022.08.17	11:01:34.082	134.878	134.878			6
2022.08.17	11:01:34.624	134.879	134.879			6
2022.08.17	11:01:34.728	134.876	134.876			6
2022.08.17	11:01:34.827	134.878	134.878			6
2022.08.17	11:01:34.931	134.877	134.877			6
2022.08.17	11:01:35.379	134.878	134.878			6
2022.08.17	11:01:35.690	134.886	134.886			6
2022.08.17	11:01:35.788	134.884	134.884			6
2022.08.17	11:01:35.887	134.885	134.885			6
2022.08.17	11:01:35.992	134.887	134.887			6
2022.08.17	11:01:36.115	134.886	134.886			6
2022.08.17	11:01:36.234	134.887	134.887			6
2022.08.17	11:01:36.386	134.886	134.886			6
2022.08.17	11:01:36.432	134.887	134.887			6
2022.08.17	11:01:37.184	134.886	134.886			6
2022.08.17	11:01:37.284	134.887	134.887			6
2022.08.17	11:01:37.393	134.888	134.888			6
2022.08.17	11:01:37.488	134.889	134.889			6
2022.08.17	11:01:37.937	134.888	134.888			6
2022.08.17	11:01:38.037	134.889	134.889			6
2022.08.17	11:01:38.142	134.888	134.888			6
2022.08.17	11:01:38.339	134.889	134.889			6
2022.08.17	11:01:38.441	134.888	134.888			6
2022.08.17	11:01:38.790	134.889	134.889			6
2022.08.17	11:01:38.903	134.887	134.887			6
2022.08.17	11:01:39.400	134.888	134.888			6
2022.08.17	11:01:39.645	134.889	134.889			6
2022.08.17	11:01:39.747	134.888	134.888			6
2022.08.17	11:01:39.852	134.889	134.889			6
2022.08.17	11:01:40.053	134.888	134.888			6
2022.08.17	11:01:40.152	134.889	134.889			6
2022.08.17	11:01:40.255	134.888	134.888			6
2022.08.17	11:01:40.389	134.890	134.890			6
