<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	03:11:00	0.94986	0.94990	0.94981	0.94982	49	0	7
2022.08.17	03:12:00	0.94982	0.94983	0.94964	0.94969	50	0	5
2022.08.17	03:13:00	0.94970	0.94970	0.94961	0.94964	53	0	7
2022.08.17	03:14:00	0.94964	0.94965	0.94962	0.94965	17	0	7
2022.08.17	03:15:00	0.94964	0.94970	0.94963	0.94969	50	0	7
2022.08.17	03:16:00	0.94967	0.94968	0.94954	0.94956	56	0	7
2022.08.17	03:17:00	0.94956	0.94962	0.94955	0.94962	34	0	6
2022.08.17	03:18:00	0.94964	0.94966	0.94959	0.94959	24	0	5
2022.08.17	03:19:00	0.94960	0.94960	0.94946	0.94948	48	0	3
2022.08.17	03:20:00	0.94947	0.94955	0.94943	0.94955	37	0	7
2022.08.17	03:21:00	0.94955	0.94963	0.94955	0.94956	37	0	7
2022.08.17	03:22:00	0.94956	0.94959	0.94949	0.94952	55	0	7
2022.08.17	03:23:00	0.94952	0.94956	0.94947	0.94950	45	0	6
2022.08.17	03:24:00	0.94949	0.94950	0.94946	0.94949	39	0	7
2022.08.17	03:25:00	0.94949	0.94968	0.94949	0.94967	41	0	2
2022.08.17	03:26:00	0.94966	0.94970	0.94963	0.94968	41	0	2
2022.08.17	03:27:00	0.94969	0.94973	0.94966	0.94971	39	0	3
2022.08.17	03:28:00	0.94971	0.94988	0.94969	0.94986	59	0	2
2022.08.17	03:29:00	0.94986	0.94988	0.94975	0.94988	33	0	3
2022.08.17	03:30:00	0.94987	0.94992	0.94978	0.94980	48	0	3
2022.08.17	03:31:00	0.94979	0.94979	0.94965	0.94965	45	0	7
2022.08.17	03:32:00	0.94965	0.94968	0.94964	0.94964	19	0	7
2022.08.17	03:33:00	0.94965	0.94966	0.94963	0.94965	22	0	7
2022.08.17	03:34:00	0.94965	0.94965	0.94956	0.94962	18	0	6
2022.08.17	03:35:00	0.94963	0.94971	0.94961	0.94971	15	0	6
2022.08.17	03:36:00	0.94970	0.94974	0.94960	0.94962	36	0	7
2022.08.17	03:37:00	0.94961	0.94967	0.94955	0.94960	27	0	5
2022.08.17	03:38:00	0.94963	0.94966	0.94957	0.94964	34	0	7
2022.08.17	03:39:00	0.94964	0.94967	0.94941	0.94943	56	0	6
2022.08.17	03:40:00	0.94943	0.94949	0.94942	0.94947	28	0	7
2022.08.17	03:41:00	0.94948	0.94953	0.94943	0.94945	48	0	7
